"","coligacao","UF","votos_colig","eleitos_UF","votos_UF","QE","cadeiras_colig","cadeiras_round11"
"66","RENOVAÇÃO E TRABALHO (Vagas: 9)","PA",1635924,17,3287514,193383,8,10
"67","FORÇA DA ESPERANÇA III (Vagas: 1)","PB",167012,12,1759922,146660,1,1
"68","FORÇA DA ESPERANÇA V (Vagas: 1)","PB",232495,12,1759922,146660,1,2
"69","PORQUE O POVO QUER I (Vagas: 1)","PB",209259,12,1759922,146660,1,1
"70","FORÇA DA ESPERANÇA I (Vagas: 3)","PB",417689,12,1759922,146660,2,3
"71","A FORÇA DO TRABALHO I  (Vagas: 6)","PB",623801,12,1759922,146660,4,5
"72","O PERNAMBUCO QUE VOCÊ QUER (Vagas: 2)","PE",305504,25,3957586,158303,1,2
"73","Patriota (Vagas: 1)","PE",267447,25,3957586,158303,1,2
"74","AVANÇA PERNAMBUCO (Vagas: 2)","PE",323739,25,3957586,158303,2,2
"75","PERNAMBUCO EM 1º LUGAR (Vagas: 4)","PE",630559,25,3957586,158303,3,4
"76","PERNAMBUCO VAI MUDAR COM SEUS DEPUTADOS FEDERAIS (Vagas: 6)","PE",895653,25,3957586,158303,5,6
"77","FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL (Vagas: 8)","PE",1223357,25,3957586,158303,7,9
"78","A Vitória com a Força do Povo II (Vagas: 8)","PI",1140594,10,1603239,160324,7,10
"79","Partido Verde (Vagas: 1)","PR",275211,30,4961261,165375,1,1
"80","PRB PHS AVANTE (Vagas: 2)","PR",371497,30,4961261,165375,2,2
"81","Coligação PARANÁ EDUCAÇÃO E EMPREGO (Vagas: 3)","PR",595976,30,4961261,165375,3,4
"82","Partido dos Trabalhadores (Vagas: 3)","PR",501524,30,4961261,165375,3,3
"83","PARANA FORTE (Vagas: 8)","PR",1323741,30,4961261,165375,8,9
"84","MUDA PARANÁ (Vagas: 10)","PR",1534733,30,4961261,165375,9,11
"85","Partido Novo (Vagas: 1)","RJ",201281,46,7720770,167843,1,1
"86","Partido Republicano Progressista (Vagas: 1)","RJ",170136,46,7720770,167843,1,1
"87","POR UM RIO FELIZ (Vagas: 2)","RJ",278274,46,7720770,167843,1,2
"88","FRENTE POPULAR (Vagas: 2)","RJ",364601,46,7720770,167843,2,2
"89","JUNTOS PELO RIO (Vagas: 2)","RJ",344357,46,7720770,167843,2,2
"90","O RIO TEM JEITO (Vagas: 2)","RJ",390945,46,7720770,167843,2,2
"91","Partido Republicano Brasileiro (Vagas: 2)","RJ",405665,46,7720770,167843,2,3
"92","MUDAR É POSSÍVEL (Vagas: 4)","RJ",649334,46,7720770,167843,3,4
"93","Partido Social Democrático (Vagas: 3)","RJ",524608,46,7720770,167843,3,4
"94","RENOVAR PARA MUDAR (Vagas: 3)","RJ",520089,46,7720770,167843,3,3
"95","O RIO QUER PAZ (Vagas: 9)","RJ",1307510,46,7720770,167843,7,9
"96","Partido Social Liberal (Vagas: 12)","RJ",1712541,46,7720770,167843,10,13
"97","100% RN I (Vagas: 1)","RN",233759,8,1403994,175499,1,1
"98","DO LADO CERTO (Vagas: 2)","RN",284612,8,1403994,175499,1,2
